,members,p1_members,p2_members,p1_r2,p2_r2,p1_avg_diff,p2_avg_diff
4845,"TWOWAY.1DUQ.7.euler.351,TWOWAY.1DUQ.7.euler.140","TWOWAY.1DUQ.7.euler.351,TWOWAY.1DUQ.7.euler.479","TWOWAY.1DUQ.7.euler.140,TWOWAY.1DUQ.7.euler.298",0.731255402092,0.534903451139,1.35641929045,0.97258101404
4846,"TWOWAY.1DUQ.7.euler.351,TWOWAY.1DUQ.7.euler.298","TWOWAY.1DUQ.7.euler.351,TWOWAY.1DUQ.7.euler.479","TWOWAY.1DUQ.7.euler.140,TWOWAY.1DUQ.7.euler.298",0.731255402092,0.534903451139,1.35641929045,0.97258101404
4847,"TWOWAY.1DUQ.7.euler.479,TWOWAY.1DUQ.7.euler.140","TWOWAY.1DUQ.7.euler.351,TWOWAY.1DUQ.7.euler.479","TWOWAY.1DUQ.7.euler.140,TWOWAY.1DUQ.7.euler.298",0.731255402092,0.534903451139,1.35641929045,0.97258101404
4848,"TWOWAY.1DUQ.7.euler.479,TWOWAY.1DUQ.7.euler.298","TWOWAY.1DUQ.7.euler.351,TWOWAY.1DUQ.7.euler.479","TWOWAY.1DUQ.7.euler.140,TWOWAY.1DUQ.7.euler.298",0.731255402092,0.534903451139,1.35641929045,0.97258101404
4849,"TWOWAY.1DUQ.7.euler.222,TWOWAY.1DUQ.7.euler.307","TWOWAY.1DUQ.7.euler.222,TWOWAY.1DUQ.7.euler.365","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.694360976585,0.531536619063,0.803970468039,1.08231231788
4850,"TWOWAY.1DUQ.7.euler.222,TWOWAY.1DUQ.7.euler.407","TWOWAY.1DUQ.7.euler.222,TWOWAY.1DUQ.7.euler.365","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.694360976585,0.531536619063,0.803970468039,1.08231231788
4851,"TWOWAY.1DUQ.7.euler.365,TWOWAY.1DUQ.7.euler.307","TWOWAY.1DUQ.7.euler.222,TWOWAY.1DUQ.7.euler.365","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.694360976585,0.531536619063,0.803970468039,1.08231231788
4852,"TWOWAY.1DUQ.7.euler.365,TWOWAY.1DUQ.7.euler.407","TWOWAY.1DUQ.7.euler.222,TWOWAY.1DUQ.7.euler.365","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.694360976585,0.531536619063,0.803970468039,1.08231231788
4853,"TWOWAY.1DUQ.7.euler.382,TWOWAY.1DUQ.7.euler.146","TWOWAY.1DUQ.7.euler.382,TWOWAY.1DUQ.7.euler.39","TWOWAY.1DUQ.7.euler.146,TWOWAY.1DUQ.7.euler.411",0.690837174329,0.603345396783,1.07917287095,1.00799499367
4854,"TWOWAY.1DUQ.7.euler.382,TWOWAY.1DUQ.7.euler.411","TWOWAY.1DUQ.7.euler.382,TWOWAY.1DUQ.7.euler.39","TWOWAY.1DUQ.7.euler.146,TWOWAY.1DUQ.7.euler.411",0.690837174329,0.603345396783,1.07917287095,1.00799499367
4855,"TWOWAY.1DUQ.7.euler.39,TWOWAY.1DUQ.7.euler.146","TWOWAY.1DUQ.7.euler.382,TWOWAY.1DUQ.7.euler.39","TWOWAY.1DUQ.7.euler.146,TWOWAY.1DUQ.7.euler.411",0.690837174329,0.603345396783,1.07917287095,1.00799499367
4856,"TWOWAY.1DUQ.7.euler.39,TWOWAY.1DUQ.7.euler.411","TWOWAY.1DUQ.7.euler.382,TWOWAY.1DUQ.7.euler.39","TWOWAY.1DUQ.7.euler.146,TWOWAY.1DUQ.7.euler.411",0.690837174329,0.603345396783,1.07917287095,1.00799499367
4857,"TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.464","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.371","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.99",0.00982553755633,0.555126002207,2.40073285483,1.17902440215
4858,"TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.99","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.371","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.99",0.00982553755633,0.555126002207,2.40073285483,1.17902440215
4859,"TWOWAY.1DUQ.7.euler.371,TWOWAY.1DUQ.7.euler.464","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.371","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.99",0.00982553755633,0.555126002207,2.40073285483,1.17902440215
4860,"TWOWAY.1DUQ.7.euler.371,TWOWAY.1DUQ.7.euler.99","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.371","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.99",0.00982553755633,0.555126002207,2.40073285483,1.17902440215
4861,"TWOWAY.1DUQ.7.euler.3,TWOWAY.1DUQ.7.euler.290","TWOWAY.1DUQ.7.euler.3,TWOWAY.1DUQ.7.euler.62","TWOWAY.1DUQ.7.euler.290,TWOWAY.1DUQ.7.euler.406",0.0040096682531,0.584855044377,1.90835771369,0.911032556519
4862,"TWOWAY.1DUQ.7.euler.3,TWOWAY.1DUQ.7.euler.406","TWOWAY.1DUQ.7.euler.3,TWOWAY.1DUQ.7.euler.62","TWOWAY.1DUQ.7.euler.290,TWOWAY.1DUQ.7.euler.406",0.0040096682531,0.584855044377,1.90835771369,0.911032556519
4863,"TWOWAY.1DUQ.7.euler.62,TWOWAY.1DUQ.7.euler.290","TWOWAY.1DUQ.7.euler.3,TWOWAY.1DUQ.7.euler.62","TWOWAY.1DUQ.7.euler.290,TWOWAY.1DUQ.7.euler.406",0.0040096682531,0.584855044377,1.90835771369,0.911032556519
4864,"TWOWAY.1DUQ.7.euler.62,TWOWAY.1DUQ.7.euler.406","TWOWAY.1DUQ.7.euler.3,TWOWAY.1DUQ.7.euler.62","TWOWAY.1DUQ.7.euler.290,TWOWAY.1DUQ.7.euler.406",0.0040096682531,0.584855044377,1.90835771369,0.911032556519
4865,"TWOWAY.1DUQ.7.euler.256,TWOWAY.1DUQ.7.euler.215","TWOWAY.1DUQ.7.euler.256,TWOWAY.1DUQ.7.euler.439","TWOWAY.1DUQ.7.euler.215,TWOWAY.1DUQ.7.euler.474",0.568751186571,0.490184156525,1.21197446797,0.965673242481
4866,"TWOWAY.1DUQ.7.euler.256,TWOWAY.1DUQ.7.euler.474","TWOWAY.1DUQ.7.euler.256,TWOWAY.1DUQ.7.euler.439","TWOWAY.1DUQ.7.euler.215,TWOWAY.1DUQ.7.euler.474",0.568751186571,0.490184156525,1.21197446797,0.965673242481
4867,"TWOWAY.1DUQ.7.euler.439,TWOWAY.1DUQ.7.euler.215","TWOWAY.1DUQ.7.euler.256,TWOWAY.1DUQ.7.euler.439","TWOWAY.1DUQ.7.euler.215,TWOWAY.1DUQ.7.euler.474",0.568751186571,0.490184156525,1.21197446797,0.965673242481
4868,"TWOWAY.1DUQ.7.euler.439,TWOWAY.1DUQ.7.euler.474","TWOWAY.1DUQ.7.euler.256,TWOWAY.1DUQ.7.euler.439","TWOWAY.1DUQ.7.euler.215,TWOWAY.1DUQ.7.euler.474",0.568751186571,0.490184156525,1.21197446797,0.965673242481
4869,"TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.299","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.380","TWOWAY.1DUQ.7.euler.299,TWOWAY.1DUQ.7.euler.28",0.389900717088,0.499398106236,1.30020107092,1.00713388643
4870,"TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.28","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.380","TWOWAY.1DUQ.7.euler.299,TWOWAY.1DUQ.7.euler.28",0.389900717088,0.499398106236,1.30020107092,1.00713388643
4871,"TWOWAY.1DUQ.7.euler.380,TWOWAY.1DUQ.7.euler.299","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.380","TWOWAY.1DUQ.7.euler.299,TWOWAY.1DUQ.7.euler.28",0.389900717088,0.499398106236,1.30020107092,1.00713388643
4872,"TWOWAY.1DUQ.7.euler.380,TWOWAY.1DUQ.7.euler.28","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.380","TWOWAY.1DUQ.7.euler.299,TWOWAY.1DUQ.7.euler.28",0.389900717088,0.499398106236,1.30020107092,1.00713388643
4873,"TWOWAY.1DUQ.7.euler.264,TWOWAY.1DUQ.7.euler.200","TWOWAY.1DUQ.7.euler.264,TWOWAY.1DUQ.7.euler.342","TWOWAY.1DUQ.7.euler.200,TWOWAY.1DUQ.7.euler.118",0.509371764758,0.688359126019,1.05718837918,1.33338046083
4874,"TWOWAY.1DUQ.7.euler.264,TWOWAY.1DUQ.7.euler.118","TWOWAY.1DUQ.7.euler.264,TWOWAY.1DUQ.7.euler.342","TWOWAY.1DUQ.7.euler.200,TWOWAY.1DUQ.7.euler.118",0.509371764758,0.688359126019,1.05718837918,1.33338046083
4875,"TWOWAY.1DUQ.7.euler.342,TWOWAY.1DUQ.7.euler.200","TWOWAY.1DUQ.7.euler.264,TWOWAY.1DUQ.7.euler.342","TWOWAY.1DUQ.7.euler.200,TWOWAY.1DUQ.7.euler.118",0.509371764758,0.688359126019,1.05718837918,1.33338046083
4876,"TWOWAY.1DUQ.7.euler.342,TWOWAY.1DUQ.7.euler.118","TWOWAY.1DUQ.7.euler.264,TWOWAY.1DUQ.7.euler.342","TWOWAY.1DUQ.7.euler.200,TWOWAY.1DUQ.7.euler.118",0.509371764758,0.688359126019,1.05718837918,1.33338046083
4877,"TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.370","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.186","TWOWAY.1DUQ.7.euler.370,TWOWAY.1DUQ.7.euler.37",0.435554664589,0.648718546143,1.11195149881,1.12539769899
4878,"TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.37","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.186","TWOWAY.1DUQ.7.euler.370,TWOWAY.1DUQ.7.euler.37",0.435554664589,0.648718546143,1.11195149881,1.12539769899
4879,"TWOWAY.1DUQ.7.euler.186,TWOWAY.1DUQ.7.euler.370","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.186","TWOWAY.1DUQ.7.euler.370,TWOWAY.1DUQ.7.euler.37",0.435554664589,0.648718546143,1.11195149881,1.12539769899
4880,"TWOWAY.1DUQ.7.euler.186,TWOWAY.1DUQ.7.euler.37","TWOWAY.1DUQ.7.euler.271,TWOWAY.1DUQ.7.euler.186","TWOWAY.1DUQ.7.euler.370,TWOWAY.1DUQ.7.euler.37",0.435554664589,0.648718546143,1.11195149881,1.12539769899
4881,"TWOWAY.1DUQ.7.euler.48,TWOWAY.1DUQ.7.euler.307","TWOWAY.1DUQ.7.euler.48,TWOWAY.1DUQ.7.euler.55","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.511979732314,0.531536619063,1.02211811586,1.08231231788
4882,"TWOWAY.1DUQ.7.euler.48,TWOWAY.1DUQ.7.euler.407","TWOWAY.1DUQ.7.euler.48,TWOWAY.1DUQ.7.euler.55","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.511979732314,0.531536619063,1.02211811586,1.08231231788
4883,"TWOWAY.1DUQ.7.euler.55,TWOWAY.1DUQ.7.euler.307","TWOWAY.1DUQ.7.euler.48,TWOWAY.1DUQ.7.euler.55","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.511979732314,0.531536619063,1.02211811586,1.08231231788
4884,"TWOWAY.1DUQ.7.euler.55,TWOWAY.1DUQ.7.euler.407","TWOWAY.1DUQ.7.euler.48,TWOWAY.1DUQ.7.euler.55","TWOWAY.1DUQ.7.euler.307,TWOWAY.1DUQ.7.euler.407",0.511979732314,0.531536619063,1.02211811586,1.08231231788
4885,"TWOWAY.1DUQ.7.euler.263,TWOWAY.1DUQ.7.euler.100","TWOWAY.1DUQ.7.euler.263,TWOWAY.1DUQ.7.euler.168","TWOWAY.1DUQ.7.euler.100,TWOWAY.1DUQ.7.euler.270",0.643608131179,0.607877773966,1.44635415687,1.03287807948
4886,"TWOWAY.1DUQ.7.euler.263,TWOWAY.1DUQ.7.euler.270","TWOWAY.1DUQ.7.euler.263,TWOWAY.1DUQ.7.euler.168","TWOWAY.1DUQ.7.euler.100,TWOWAY.1DUQ.7.euler.270",0.643608131179,0.607877773966,1.44635415687,1.03287807948
4887,"TWOWAY.1DUQ.7.euler.168,TWOWAY.1DUQ.7.euler.100","TWOWAY.1DUQ.7.euler.263,TWOWAY.1DUQ.7.euler.168","TWOWAY.1DUQ.7.euler.100,TWOWAY.1DUQ.7.euler.270",0.643608131179,0.607877773966,1.44635415687,1.03287807948
4888,"TWOWAY.1DUQ.7.euler.168,TWOWAY.1DUQ.7.euler.270","TWOWAY.1DUQ.7.euler.263,TWOWAY.1DUQ.7.euler.168","TWOWAY.1DUQ.7.euler.100,TWOWAY.1DUQ.7.euler.270",0.643608131179,0.607877773966,1.44635415687,1.03287807948
4889,"TWOWAY.1DUQ.7.euler.204,TWOWAY.1DUQ.7.euler.139","TWOWAY.1DUQ.7.euler.204,TWOWAY.1DUQ.7.euler.99","TWOWAY.1DUQ.7.euler.139,TWOWAY.1DUQ.7.euler.20",0.510524278245,0.739135539143,0.91757243037,1.42149252847
4890,"TWOWAY.1DUQ.7.euler.204,TWOWAY.1DUQ.7.euler.20","TWOWAY.1DUQ.7.euler.204,TWOWAY.1DUQ.7.euler.99","TWOWAY.1DUQ.7.euler.139,TWOWAY.1DUQ.7.euler.20",0.510524278245,0.739135539143,0.91757243037,1.42149252847
4891,"TWOWAY.1DUQ.7.euler.99,TWOWAY.1DUQ.7.euler.139","TWOWAY.1DUQ.7.euler.204,TWOWAY.1DUQ.7.euler.99","TWOWAY.1DUQ.7.euler.139,TWOWAY.1DUQ.7.euler.20",0.510524278245,0.739135539143,0.91757243037,1.42149252847
4892,"TWOWAY.1DUQ.7.euler.99,TWOWAY.1DUQ.7.euler.20","TWOWAY.1DUQ.7.euler.204,TWOWAY.1DUQ.7.euler.99","TWOWAY.1DUQ.7.euler.139,TWOWAY.1DUQ.7.euler.20",0.510524278245,0.739135539143,0.91757243037,1.42149252847
4893,"TWOWAY.1DUQ.7.euler.396,TWOWAY.1DUQ.7.euler.440","TWOWAY.1DUQ.7.euler.396,TWOWAY.1DUQ.7.euler.415","TWOWAY.1DUQ.7.euler.440,TWOWAY.1DUQ.7.euler.9",0.598886414773,0.702521875545,1.49573629687,1.3112104929
4894,"TWOWAY.1DUQ.7.euler.396,TWOWAY.1DUQ.7.euler.9","TWOWAY.1DUQ.7.euler.396,TWOWAY.1DUQ.7.euler.415","TWOWAY.1DUQ.7.euler.440,TWOWAY.1DUQ.7.euler.9",0.598886414773,0.702521875545,1.49573629687,1.3112104929
4895,"TWOWAY.1DUQ.7.euler.415,TWOWAY.1DUQ.7.euler.440","TWOWAY.1DUQ.7.euler.396,TWOWAY.1DUQ.7.euler.415","TWOWAY.1DUQ.7.euler.440,TWOWAY.1DUQ.7.euler.9",0.598886414773,0.702521875545,1.49573629687,1.3112104929
4896,"TWOWAY.1DUQ.7.euler.415,TWOWAY.1DUQ.7.euler.9","TWOWAY.1DUQ.7.euler.396,TWOWAY.1DUQ.7.euler.415","TWOWAY.1DUQ.7.euler.440,TWOWAY.1DUQ.7.euler.9",0.598886414773,0.702521875545,1.49573629687,1.3112104929
4897,"TWOWAY.1DUQ.7.euler.248,TWOWAY.1DUQ.7.euler.443","TWOWAY.1DUQ.7.euler.248,TWOWAY.1DUQ.7.euler.156","TWOWAY.1DUQ.7.euler.443,TWOWAY.1DUQ.7.euler.111",0.50993121785,0.577988367145,1.15768490418,1.18822263229
